Unnamed: 0,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
434.0,1.0,94.47,146.97,1.07,3384.5,10.0,37.4
435.0,1.5,199.91,144.64,1.06,3279.8,9.5,
436.0,1.2,93.17,142.12,1.09,3121.1,10.0,37.2
437.0,1.4,94.74,130.79,1.08,,9.5,37.8
438.0,,97.94,142.77,1.11,3321.8,9.9,37.3
439.0,-99.0,93.99,141.89,1.06,3312.7,,37.2
440.0,1.3,96.91,133.81,1.09,3544.8,,37.9
441.0,1.3,95.1,150.9,,3354.2,9.8,37.3
442.0,107.5,-9.819999999999993,143.41,1.08,3920.2799999999993,10.2,37.1
443.0,1.3,95.84,142.34,1.06,3723.3,9.8,37.4
444.0,1.2,199.91,137.32,1.07,3581.6,9.9,37.0
445.0,,98.28,141.84,1.07,3375.5,10.1,37.5
446.0,1.4,92.58,137.65,1.09,3419.7,9.8,37.4
447.0,,94.62,143.53,1.11,3533.3,10.2,37.8
448.0,1.3,199.91,150.15,1.05,3373.4,9.6,37.0
449.0,1.0,92.36,137.58,1.06,,9.8,37.2
450.0,1.2,97.71,142.65,1.1,3351.6,10.2,37.7
451.0,1.5,93.3,143.81,1.1,3625.8,,37.8
452.0,1.3,90.23,145.59,1.08,3584.0,9.8,37.3
453.0,1.1,96.57,137.42,1.1,3410.5,10.1,37.4
454.0,1.0,90.86,130.7,1.05,3656.5,9.7,37.3
455.0,,96.94,147.35,1.08,3566.6,10.0,37.2
456.0,1.1,98.51,137.91,1.07,3600.6,10.1,37.4
457.0,1.2,91.42,147.37,1.06,3920.2799999999993,10.2,37.7
458.0,1.5,91.97,144.81,1.1,3495.9,,138.9
459.0,1.2,97.28,150.13,1.09,3506.0,10.0,37.2
460.0,,90.14,150.7,1.06,3759.4,9.6,37.8
461.0,1.0,98.15,130.42,1.05,3700.8,9.8,-65.5
462.0,1.4,92.13,144.45,1.08,3310.6,9.6,37.8
463.0,,91.2,135.55,-98.95,3348.8,10.2,37.1
464.0,1.4,91.71,137.4,1.06,,-90.5,37.6
465.0,1.0,96.58,136.6,1.1,3446.6,110.2,37.1
466.0,1.4,97.12,149.23,,3368.6,9.8,37.4
467.0,1.5,90.28,133.37,1.05,3683.8,9.5,37.2
468.0,-99.0,,138.1,1.06,3478.4,10.0,37.0
469.0,,97.18,146.23,1.08,3359.6,10.0,37.6
470.0,1.3,94.61,145.69,1.09,3350.6,9.9,37.8
471.0,1.0,93.49,145.38,-98.95,3686.7,9.6,
472.0,1.1,,135.53,1.07,3483.3,9.5,-65.5
473.0,1.0,97.48,144.78,1.1,,-90.5,37.6
474.0,1.2,93.81,146.52,1.07,3629.8,,37.6
475.0,1.4,91.45,137.68,1.06,3531.3,10.0,37.3
476.0,1.2,91.69,132.83,1.08,3751.8,9.9,37.9
477.0,1.4,99.49,142.18,1.05,3440.3,9.9,138.9
,1.1,99.58,134.36,1.11,3683.9,10.1,37.1
479.0,1.1,95.4,135.73,1.09,3920.2799999999993,10.2,37.8
480.0,1.5,,149.58,1.09,3739.0,10.1,37.1
481.0,1.4,94.46,147.12,-98.95,3524.4,9.5,37.8
482.0,1.2,199.91,,1.1,3391.8,10.1,37.1
483.0,,91.1,130.68,-98.95,3805.7,10.2,37.5
484.0,1.4,90.77,149.61,1.05,3561.3,110.2,37.5
485.0,1.2,96.8,133.55,1.1,3680.7,9.5,37.5
486.0,1.1,93.47,146.52,1.1,3739.5,9.6,37.2
487.0,1.0,,148.9,1.07,3579.4,9.8,37.3
488.0,1.5,98.38,131.51,1.08,,9.7,37.9
489.0,1.1,95.18,142.14,1.05,3747.8,10.2,37.0
490.0,1.5,93.97,136.67,1.1,3560.2,,37.6
491.0,1.3,94.4,146.42,1.07,,10.0,138.9
492.0,1.5,98.49,141.84,1.07,3403.6,10.1,37.2
493.0,1.5,91.6,143.42,1.08,3597.4,9.9,37.3
494.0,1.4,92.59,137.49,1.05,3309.5,10.2,37.8
,1.2,91.33,134.14,1.07,3310.3,9.5,37.6
496.0,,96.22,149.13,1.1,3395.8,9.5,37.5
497.0,1.1,90.45,139.83,1.05,3592.5,9.8,37.8
498.0,1.1,92.29,131.95,,3406.7,9.5,37.8
499.0,1.4,98.39,142.79,1.07,3773.0,9.7,37.0
500.0,1.5,96.94,133.32,1.07,3769.6,9.8,37.8
501.0,1.5,99.9,143.52,1.08,3472.1,9.5,37.7
502.0,1.2,94.43,145.84,-98.95,3548.0,10.0,37.9
503.0,1.5,93.55,134.36,1.06,3440.4,10.1,37.6
504.0,-99.0,90.61,148.69,1.1,3738.9,9.6,37.8
,107.5,97.4,149.93,1.06,3483.1,10.1,37.2
506.0,1.4,92.67,138.52,1.09,3679.6,10.0,37.5
507.0,1.2,95.14,144.97,,3632.9,9.6,37.5
508.0,1.5,95.82,145.76,1.11,3804.3,9.6,37.8
509.0,1.4,99.88,138.26,1.08,3458.7,110.2,37.4
510.0,-99.0,96.88,144.97,1.07,,9.7,37.5
511.0,107.5,93.2,148.61,1.06,3469.3,110.2,37.6
512.0,1.5,90.44,30.430000000000007,1.05,3639.4,10.2,37.5
513.0,1.5,97.66,149.48,,3725.1,9.8,37.0
514.0,1.4,95.84,144.43,1.09,3674.8,9.8,37.5
515.0,1.5,97.63,144.9,1.07,3704.3,9.7,
516.0,1.5,90.67,143.57,1.06,3496.9,10.0,38.0
517.0,1.1,97.7,134.17,1.06,3438.9,10.2,38.6
518.0,1.3,,141.54,1.06,3801.9,10.2,38.8
,1.0,97.59,139.23,1.11,3775.2,9.6,38.5
520.0,1.0,97.18,138.78,1.05,3742.9,9.9,38.4
521.0,1.3,96.35,,1.05,3528.2,9.8,38.2
522.0,1.3,97.21,150.64,1.07,3768.3,10.0,38.6
523.0,1.0,99.31,135.57,1.06,3446.3,9.7,138.9
524.0,1.3,95.49,135.68,1.07,3683.5,9.8,38.1
525.0,1.5,90.6,131.39,1.11,3387.6,10.1,38.4
526.0,1.5,99.71,148.28,1.09,3497.2,10.2,38.4
527.0,1.2,,135.87,1.11,3357.8,9.7,38.3
528.0,1.3,95.85,139.44,,3389.6,10.0,38.1
529.0,1.3,95.62,142.17,1.1,3801.2,9.7,38.4
530.0,1.2,99.42,144.32,1.11,3444.8,10.2,38.4
531.0,1.1,199.91,130.76,101.11,3509.2,9.5,38.7
532.0,1.3,91.35,130.36,1.05,,9.8,38.2
533.0,1.0,91.63,142.3,1.09,3650.1,9.8,38.3
534.0,1.0,91.4,143.12,1.1,3644.0,9.6,-65.5
535.0,1.3,99.69,150.94,1.09,3365.7,9.6,38.1
536.0,1.0,92.24,149.43,,3459.0,9.8,38.9
537.0,1.3,97.19,150.46,1.09,3450.3,10.2,38.7
538.0,1.0,97.28,141.6,1.09,3360.1,9.9,38.1
539.0,1.1,95.7,137.91,1.1,3596.5,-90.5,38.1
540.0,1.4,,139.88,1.05,3459.3,9.9,38.9
541.0,1.5,93.18,131.45,1.05,3641.5,10.0,38.0
542.0,1.2,99.21,,1.11,3562.2,9.9,38.7
543.0,1.4,95.27,,1.09,3722.4,9.6,38.7
544.0,1.4,92.93,131.27,1.11,3645.9,10.2,38.2
545.0,1.0,92.9,143.85,1.09,3431.9,9.6,38.8
546.0,107.5,-9.819999999999993,140.2,101.11,3640.1,9.9,38.1
547.0,1.1,93.55,132.31,1.09,3537.8,10.2,38.6
548.0,1.1,95.25,133.8,1.06,3425.1,10.0,38.0
549.0,1.1,90.4,145.54,1.1,2655.34,9.5,38.1
550.0,1.5,96.85,138.59,1.09,3623.9,10.0,38.0
551.0,1.5,94.58,139.55,1.07,3358.1,9.7,38.1
552.0,1.0,97.76,149.39,1.05,3470.1,9.6,38.8
553.0,1.1,98.91,149.79,1.1,3645.6,10.2,38.4
554.0,1.2,99.47,135.64,1.07,3682.2,10.0,38.4
555.0,1.3,,144.71,-98.95,3664.7,10.1,38.8
556.0,1.4,91.37,133.17,1.11,3582.6,9.8,38.2
8609.33,1.5,-9.819999999999993,137.24,1.11,3499.9,10.2,38.7
8609.33,1.0,97.9,139.32,1.09,3802.9,10.0,38.7
,1.1,94.78,144.96,1.08,3783.1,9.9,38.5
560.0,1.2,97.19,139.12,,3652.1,9.9,38.4
561.0,1.1,92.75,149.85,1.08,3920.2799999999993,9.5,38.4
562.0,1.5,97.73,255.3056,1.1,3623.9,9.5,38.1
563.0,1.3,92.47,143.72,1.05,3920.2799999999993,110.2,38.6
-10.329999999999998,,97.39,140.24,1.11,3793.8,10.2,38.9
565.0,1.4,91.31,132.17,1.07,3641.7,9.6,38.8
566.0,1.5,94.58,,1.05,3764.9,10.1,38.8
567.0,1.5,199.91,,1.1,3532.4,10.2,38.2
568.0,1.2,94.36,138.19,1.11,3719.8,10.1,38.5
569.0,1.2,95.23,146.9,1.05,,9.8,38.7
570.0,1.3,97.31,131.77,1.08,3435.5,9.7,38.1
571.0,1.0,91.65,144.63,-98.95,3429.7,9.7,38.0
572.0,1.2,90.98,131.44,1.1,3569.7,10.1,38.1
573.0,1.4,95.1,,1.1,3359.6,10.1,38.5
574.0,1.2,94.63,142.36,1.07,3524.1,10.0,38.3
,1.4,91.68,149.51,1.05,3464.4,9.5,38.4
576.0,1.3,97.82,134.86,1.1,3642.8,9.9,38.5
-10.329999999999998,1.0,92.67,148.49,1.09,3568.9,9.8,38.2
578.0,1.5,96.62,,1.05,3383.1,,38.5
579.0,,90.35,131.25,1.1,3786.2,9.7,38.3
580.0,,93.79,146.62,1.05,3381.6,9.8,38.8
581.0,1.3,90.42,143.96,1.11,3442.8,110.2,38.1
582.0,1.5,90.51,131.62,1.05,3615.9,10.1,38.0
583.0,,94.69,150.35,1.11,3331.3,10.0,38.7
584.0,1.1,95.23,147.28,,3774.6,10.2,38.5
585.0,1.1,96.15,139.73,1.05,3482.6,9.8,38.3
586.0,,90.36,141.9,,2655.34,9.6,38.6
587.0,1.2,96.47,130.8,1.06,3713.1,9.7,38.4
588.0,1.4,91.54,131.25,1.07,3510.2,10.2,38.5
589.0,1.4,96.65,135.75,1.05,3519.5,9.6,38.0
590.0,1.3,,138.68,1.11,3714.4,9.9,38.6
591.0,1.5,98.44,136.13,,3542.5,9.6,38.0
592.0,1.1,99.31,149.93,1.07,3489.1,10.0,38.9
593.0,1.3,96.47,137.73,1.11,3539.4,9.5,38.5
594.0,1.4,99.28,145.56,1.07,,9.6,38.5
595.0,1.3,93.14,145.26,1.09,3653.8,9.7,
596.0,1.3,92.75,255.3056,1.08,,9.9,38.5
597.0,1.4,98.6,,1.09,3561.2,10.0,38.0
598.0,1.4,95.38,255.3056,1.08,3569.8,10.0,138.9
599.0,1.4,99.16,147.89,1.05,3435.5,,38.0
600.0,1.5,90.59,138.19,1.06,3365.8,9.7,138.9
601.0,1.1,,149.38,1.09,3780.8,10.0,38.8
602.0,1.1,91.29,30.430000000000007,1.1,3670.7,9.9,38.6
603.0,1.2,91.12,136.75,1.11,3920.2799999999993,9.9,
604.0,1.0,99.36,134.23,1.06,3586.8,9.6,38.3
605.0,1.4,92.65,149.4,1.09,,10.2,38.3
,1.2,94.16,133.98,1.07,3581.3,9.8,38.1
607.0,1.2,99.45,132.91,1.05,3372.0,9.8,
608.0,1.2,95.91,144.69,1.1,3767.8,9.6,38.7
609.0,1.1,91.96,145.94,1.08,3920.2799999999993,9.9,38.8
610.0,1.4,94.14,,-98.95,3422.5,10.0,38.0
611.0,1.5,99.97,141.22,1.08,3601.4,9.9,38.0
612.0,107.5,,137.73,1.1,3437.8,10.1,38.1
613.0,1.5,97.74,140.25,1.05,3411.7,9.8,38.2
614.0,1.1,98.14,140.18,1.1,3566.9,,38.6
615.0,1.2,199.91,135.47,1.05,3387.9,9.7,38.9
616.0,1.3,98.86,141.19,1.05,3446.2,9.7,38.1
617.0,1.1,96.56,132.76,1.11,3311.4,9.6,38.2
618.0,1.2,199.91,150.73,1.06,3777.6,9.6,38.9
619.0,1.2,92.38,144.36,1.06,3560.0,10.2,38.3
620.0,1.0,95.29,149.42,1.09,3570.8,,38.2
621.0,1.4,99.58,147.94,1.1,3676.0,110.2,38.7
622.0,1.3,93.1,30.430000000000007,1.08,3595.1,,38.0
623.0,1.1,99.29,130.62,1.09,3580.6,9.7,38.0
624.0,1.5,97.59,142.5,1.07,3575.5,10.1,38.9
625.0,1.0,91.95,146.14,1.1,3596.7,9.5,-65.5
626.0,1.5,91.23,145.24,1.08,,10.2,38.7
627.0,-99.0,94.2,140.25,1.06,3559.0,-90.5,38.0
628.0,1.0,94.87,142.78,1.07,2655.34,10.2,38.6
629.0,1.3,98.27,141.68,1.07,,10.0,38.6
630.0,1.4,91.68,30.430000000000007,101.11,,10.0,38.0
631.0,1.2,98.33,130.19,1.06,3655.8,9.5,38.3
632.0,1.0,93.19,135.51,1.08,3343.7,9.7,38.2
633.0,1.3,90.99,148.84,,3400.5,10.1,38.5
634.0,1.5,91.99,134.45,1.08,3920.2799999999993,10.0,38.3
635.0,1.2,99.73,133.84,1.05,3432.1,9.5,38.6
636.0,1.0,97.34,142.89,1.05,3321.0,10.1,
637.0,,98.82,147.94,1.09,3784.0,10.1,38.3
638.0,1.0,98.81,143.54,1.06,3546.7,10.1,38.5
639.0,1.2,96.71,147.87,,3602.6,9.6,38.5
640.0,1.5,97.29,130.2,1.06,3318.5,10.2,38.6
641.0,,98.76,141.12,1.06,3312.6,9.8,38.4
642.0,,96.39,141.96,1.05,3358.4,9.5,38.2
643.0,1.4,93.52,145.82,1.06,3428.5,10.2,38.5
644.0,1.4,97.56,143.61,1.08,3653.6,9.8,38.1
645.0,1.5,97.13,134.9,1.11,3788.1,9.9,38.4
646.0,1.0,99.49,30.430000000000007,1.11,3781.2,9.6,38.2
647.0,1.2,96.29,149.57,1.11,3920.2799999999993,10.0,38.9
648.0,,93.63,150.16,1.05,3668.6,9.7,38.4
649.0,1.2,95.53,133.79,1.05,3603.8,9.7,
650.0,1.5,94.96,130.46,1.09,3504.9,,38.3
651.0,1.4,92.3,134.51,,3452.1,9.8,38.3
652.0,1.5,99.3,139.45,1.05,3758.8,9.6,
653.0,1.3,,135.86,1.07,3783.3,9.8,38.9
654.0,1.4,99.97,146.38,1.09,3570.7,9.7,138.9
655.0,1.3,91.43,150.28,1.07,3583.5,9.8,38.7
656.0,1.4,91.21,139.61,1.05,3759.6,10.2,38.1
657.0,1.1,97.82,145.69,1.1,3630.2,9.9,38.9
658.0,,95.49,148.13,1.11,3724.5,9.7,38.9
659.0,1.3,94.93,,1.07,2655.34,10.1,38.6
660.0,1.4,95.23,146.41,1.05,3397.9,10.1,38.5
661.0,1.4,96.87,141.48,1.05,3349.7,10.0,38.1
662.0,,99.57,143.1,1.11,3686.8,9.6,38.6
-10.329999999999998,1.5,97.92,150.9,1.11,,9.6,38.9
664.0,1.4,94.29,,1.06,3515.6,9.9,38.6
665.0,1.0,98.87,137.56,-98.95,3392.8,9.7,38.0
666.0,1.1,,148.94,1.06,3419.4,10.0,38.1
667.0,1.0,98.86,30.430000000000007,1.08,3566.8,9.5,
668.0,,93.87,136.29,1.08,3758.4,9.5,38.5
669.0,1.0,96.55,132.86,1.09,3666.0,9.7,38.8
670.0,1.0,96.15,131.41,1.11,3608.6,9.9,38.1
671.0,1.4,91.14,143.48,1.06,,9.6,38.9
672.0,1.2,93.75,143.21,1.08,3525.6,9.8,38.6
673.0,1.4,97.63,149.7,1.07,3552.1,9.5,38.1
674.0,1.0,199.91,144.66,1.08,3376.7,9.7,38.1
675.0,1.2,96.98,142.2,1.09,3413.3,,38.9
676.0,1.4,90.49,145.52,1.09,3381.3,10.1,38.0
677.0,1.0,91.71,138.69,1.07,3743.4,9.9,38.6
678.0,107.5,,136.7,1.1,3391.4,10.1,138.9
679.0,1.1,97.94,138.63,1.07,3584.9,10.2,38.2
680.0,1.0,99.15,139.68,1.11,3672.7,,38.4
681.0,1.5,95.96,142.26,1.06,3351.0,9.7,-65.5
682.0,-99.0,99.95,144.6,1.07,3787.7,9.9,38.1
683.0,1.0,96.42,137.79,1.05,3650.1,9.8,38.4
-10.329999999999998,1.2,90.84,149.85,101.11,3313.9,9.7,38.0
685.0,1.0,96.2,150.93,1.11,,9.8,138.9
686.0,1.0,94.75,147.53,1.06,3586.5,9.7,38.2
687.0,1.1,97.36,144.4,1.1,3753.1,10.1,38.3
688.0,1.2,,148.88,1.06,3514.0,9.9,38.0
689.0,1.0,99.13,135.6,1.09,3526.2,9.7,38.7
690.0,1.3,96.11,140.59,1.08,3461.8,10.0,
691.0,107.5,91.24,135.34,101.11,3456.3,9.7,38.0
692.0,1.3,98.19,137.33,1.05,2655.34,9.7,38.9
693.0,1.0,94.19,,1.06,3587.7,10.2,38.6
694.0,1.5,91.94,,1.08,3393.8,9.8,38.1
695.0,1.2,98.89,149.62,1.08,3457.6,10.0,38.1
696.0,1.5,99.37,146.37,,3559.4,9.9,38.5
697.0,1.1,97.67,139.13,1.06,3535.5,9.9,38.2
698.0,1.1,98.55,141.16,1.05,3467.7,10.2,38.1
699.0,1.5,92.76,255.3056,1.09,3505.9,10.2,38.3
700.0,1.4,91.66,148.26,1.09,3652.1,10.0,-65.5
701.0,1.0,98.8,130.87,1.1,3407.4,9.8,38.6
702.0,1.1,97.58,132.15,1.1,3597.9,10.2,38.7
703.0,1.4,,143.18,1.1,3449.6,10.0,-65.5
704.0,-99.0,96.98,,1.05,3465.4,9.6,38.0
705.0,1.2,94.85,136.35,1.07,3656.6,9.5,38.8
706.0,1.2,94.67,136.73,1.07,3329.5,,38.2
707.0,1.5,91.66,131.13,,3320.8,10.2,38.6
708.0,1.1,92.36,137.71,1.1,3403.0,10.0,38.7
709.0,1.4,98.15,139.58,1.09,,9.6,38.3
-10.329999999999998,1.1,94.35,150.51,1.1,3920.2799999999993,9.6,38.2
711.0,1.0,93.93,132.98,1.1,2655.34,10.2,-65.5
712.0,1.2,91.66,138.38,1.09,3721.6,9.9,38.7
713.0,1.5,94.36,133.27,1.1,3419.4,9.6,
714.0,1.0,,146.82,101.11,3356.7,9.8,38.6
715.0,-99.0,90.91,134.32,1.05,3409.4,,38.5
716.0,1.5,-9.819999999999993,146.37,1.08,3618.9,10.0,38.5
717.0,-99.0,,143.62,1.05,3352.2,9.8,38.0
718.0,1.1,93.15,149.89,1.05,3576.4,10.1,38.0
719.0,,91.15,140.5,1.08,3776.6,10.2,38.8
720.0,1.3,94.42,134.47,1.11,3695.4,,38.3
,1.4,96.61,147.96,1.05,3757.6,9.5,38.8
722.0,1.0,99.97,145.76,1.11,3393.4,9.6,38.7
723.0,,97.7,135.68,1.08,3733.8,10.0,38.5
724.0,1.5,93.78,131.86,1.1,3631.7,10.0,138.9
725.0,1.2,96.43,134.75,1.07,3493.8,10.1,38.0
726.0,1.4,95.12,133.95,1.11,,10.1,38.6
727.0,1.3,98.87,145.5,1.11,3430.5,9.8,38.3
728.0,1.0,97.87,131.76,1.08,3588.0,9.8,38.7
729.0,1.5,94.55,131.46,1.1,3561.1,110.2,38.0
730.0,1.3,91.23,130.88,1.1,3576.6,10.1,38.6
731.0,1.1,94.89,134.94,101.11,3583.2,9.5,38.9
732.0,1.5,98.61,133.83,1.09,3388.0,9.5,38.2
733.0,,93.89,133.53,1.1,3520.0,9.9,38.2
734.0,1.5,96.62,147.53,1.11,3780.5,9.8,38.5
735.0,1.5,92.85,139.36,,3552.5,10.0,38.8
736.0,1.3,91.47,133.4,1.05,3509.2,9.9,38.3
737.0,-99.0,91.35,140.85,1.06,3395.2,9.6,38.5
738.0,1.0,92.86,130.4,1.05,3536.8,10.0,38.0
739.0,1.4,91.55,130.81,1.11,3723.5,10.2,38.7
740.0,1.2,94.61,,1.05,3448.3,10.0,38.4
741.0,1.5,,143.97,1.05,3366.6,9.8,38.6
742.0,1.3,92.51,144.71,1.06,2655.34,10.0,38.8
743.0,107.5,,143.68,1.06,3710.9,9.6,38.1
744.0,1.5,,133.53,1.1,3757.9,10.1,38.2
745.0,1.4,,132.25,1.06,3588.7,9.8,38.8
746.0,1.5,97.99,140.27,1.08,3699.2,9.7,38.8
747.0,1.2,92.95,138.69,1.11,3438.0,10.2,38.0
748.0,1.4,93.11,137.1,1.06,3730.7,10.0,38.4
749.0,1.0,199.91,148.47,1.07,3488.7,9.8,38.1
,1.4,92.53,130.57,1.06,3440.7,9.6,38.7
751.0,1.0,90.98,132.44,1.1,3462.8,10.1,38.7
752.0,1.2,92.24,147.24,1.05,2655.34,,38.3
753.0,1.3,98.52,141.48,1.1,3790.0,9.8,38.9
,1.3,94.15,140.18,1.08,3920.2799999999993,10.1,38.9
755.0,1.0,92.24,137.88,1.09,3671.8,9.5,38.1
,1.2,98.3,139.2,1.06,3487.4,10.1,38.8
757.0,1.2,92.85,255.3056,1.07,3358.2,10.2,38.0
,1.2,94.56,132.29,1.09,3358.2,9.9,38.9
759.0,1.1,98.1,138.98,1.1,3567.3,,38.2
,1.3,98.73,149.18,1.08,3301.8,9.6,38.4
-10.329999999999998,107.5,93.15,133.78,1.08,3487.3,9.6,38.2
762.0,,92.92,141.63,1.11,3725.7,10.1,38.0
763.0,1.5,97.11,30.430000000000007,1.11,3591.7,,38.7
764.0,1.2,91.72,135.43,1.09,3744.3,9.7,38.1
765.0,1.1,199.91,139.13,1.08,3573.4,9.8,38.1
766.0,1.4,99.97,141.63,1.08,3393.2,9.8,38.4
767.0,1.2,90.54,137.61,1.08,3317.6,10.1,38.6
768.0,1.4,93.58,150.9,1.1,3432.1,10.2,38.8
,1.5,99.1,148.82,1.06,3920.2799999999993,10.0,38.7
770.0,1.3,96.2,144.48,1.11,3773.8,10.0,38.6
771.0,1.3,94.87,144.93,1.1,3324.2,9.5,38.0
772.0,1.0,97.24,,1.06,3764.2,9.7,138.9
,1.0,90.6,137.75,1.08,3449.4,9.5,38.6
774.0,1.0,-9.819999999999993,134.45,1.05,3464.1,9.6,38.9
,1.0,97.14,146.15,1.07,3519.7,9.9,38.3
776.0,1.2,95.37,143.41,1.06,3669.0,10.0,38.0
777.0,1.2,97.59,146.75,1.07,3800.9,9.6,38.3
778.0,1.2,97.72,136.29,1.08,3758.8,10.2,38.4
779.0,1.2,98.56,145.36,1.05,3500.9,9.6,38.4
780.0,1.0,93.48,149.84,1.05,3469.6,10.2,38.1
781.0,1.3,92.82,135.82,1.09,3470.3,9.6,
782.0,1.0,91.24,255.3056,1.05,3723.3,9.9,-65.5
783.0,1.1,92.4,137.59,1.11,3666.6,-90.5,38.3
784.0,1.2,90.29,137.81,1.05,3513.0,10.2,38.1
785.0,1.2,94.48,133.34,1.05,3773.2,,38.9
786.0,1.2,99.27,132.65,101.11,3497.7,10.2,38.6
787.0,1.1,95.96,132.95,101.11,3414.5,10.2,38.7
788.0,1.3,94.39,138.51,1.09,3621.6,9.8,38.4
789.0,1.2,92.37,145.49,1.07,3384.7,9.6,38.1
790.0,1.2,,138.97,1.08,3420.7,10.1,38.2
791.0,1.3,91.3,134.99,1.07,3446.1,10.1,38.1
792.0,1.1,93.66,147.82,1.11,3528.8,9.7,38.0
793.0,1.0,,149.38,1.11,3691.3,9.6,38.9
794.0,1.0,95.52,147.42,1.06,3720.7,9.7,38.1
795.0,1.0,98.77,,1.07,3332.9,10.1,38.6
796.0,1.0,94.75,133.54,1.07,,9.6,38.9
797.0,1.5,94.21,132.25,1.08,3644.2,10.1,
798.0,1.3,98.78,138.95,1.08,3324.1,9.6,38.3
799.0,1.3,98.88,141.81,1.08,3368.7,10.0,
800.0,107.5,94.73,137.7,1.07,3473.5,10.0,38.8
801.0,1.2,93.65,146.95,,3501.8,9.8,38.3
802.0,1.5,97.56,143.32,1.11,3710.4,9.9,38.0
803.0,1.0,97.6,131.56,1.05,3346.1,9.7,38.5
804.0,1.0,94.89,,1.1,3787.1,10.1,38.2
805.0,,96.83,139.62,1.1,3372.3,10.1,38.1
806.0,1.5,96.67,146.93,,3334.3,9.5,38.4
807.0,1.0,93.76,135.8,1.11,,10.1,38.6
808.0,1.5,94.25,148.57,1.07,3423.8,9.7,38.4
809.0,1.3,98.75,134.53,1.11,,9.6,38.1
810.0,1.3,90.4,137.99,101.11,3787.4,9.8,38.5
811.0,1.0,93.65,150.63,1.1,,9.5,38.2
812.0,1.4,93.72,145.13,1.1,2655.34,10.1,38.4
813.0,1.3,92.31,139.11,1.06,3585.0,10.0,38.2
814.0,1.5,92.39,149.1,1.08,3368.9,10.0,38.2
815.0,1.3,96.81,148.46,1.1,3774.1,10.2,38.2
816.0,1.2,98.5,149.67,1.08,3559.0,10.2,38.2
817.0,1.0,90.39,136.57,1.09,3716.6,9.9,38.0
818.0,1.4,98.54,134.76,1.09,3655.0,9.9,-65.5
819.0,1.1,99.98,,1.07,3675.7,10.0,38.2
820.0,1.2,97.6,131.99,1.09,3598.1,10.0,38.0
821.0,1.2,93.59,142.43,1.1,3323.5,10.1,38.8
822.0,1.5,98.58,137.16,1.1,3504.1,9.5,38.6
823.0,1.1,-9.819999999999993,141.73,1.07,3535.8,-90.5,38.8
824.0,1.2,98.17,136.28,1.06,3384.3,10.0,38.6
825.0,1.2,94.29,136.79,1.1,3347.7,9.7,38.0
826.0,1.4,96.7,143.39,1.07,3692.2,9.6,138.9
827.0,1.3,95.83,137.42,1.09,3352.3,9.8,38.7
828.0,1.1,96.54,133.16,1.1,3568.3,9.6,38.4
829.0,1.5,90.34,131.53,1.1,,10.1,38.4
830.0,1.2,91.94,149.25,1.06,3373.5,9.5,38.8
831.0,1.1,,131.65,1.11,3746.3,9.9,38.5
832.0,1.4,98.21,146.61,1.07,3325.9,9.6,38.2
833.0,1.5,90.72,133.23,-98.95,2655.34,-90.5,38.3
834.0,1.0,97.59,136.2,1.08,3602.8,10.2,38.6
835.0,,91.49,147.35,1.06,3613.8,9.5,38.1
836.0,1.3,93.24,140.94,1.07,3691.8,10.0,38.6
837.0,1.1,99.86,138.19,1.08,3408.3,9.7,38.4
838.0,1.2,95.16,,1.07,2655.34,10.2,38.5
839.0,1.1,98.93,144.65,1.1,2655.34,10.2,38.6
840.0,1.2,91.25,146.25,1.07,,9.5,38.0
841.0,1.4,98.49,139.65,1.05,3608.3,10.1,138.9
842.0,1.3,94.17,139.93,1.09,3530.7,9.6,38.5
843.0,,90.95,30.430000000000007,1.05,3349.2,110.2,38.7
844.0,1.0,97.45,137.36,1.07,3340.7,9.7,38.3
845.0,1.3,93.49,132.28,1.1,3312.9,10.1,38.3
846.0,1.0,99.42,144.58,1.08,3741.3,9.6,38.0
847.0,1.3,199.91,133.73,1.1,3502.9,10.1,38.4
848.0,1.4,92.66,143.34,1.11,3701.7,10.0,38.3
849.0,107.5,90.11,139.98,1.1,3469.0,9.5,38.1
850.0,1.1,-9.819999999999993,140.73,,3336.7,9.7,38.7
851.0,1.5,97.49,132.68,1.09,3361.4,10.0,-65.5
8609.33,1.2,90.53,135.37,1.07,3349.9,10.1,38.8
853.0,1.1,94.55,148.26,1.09,,9.6,38.2
854.0,1.4,94.89,146.7,,3457.6,10.2,38.8
855.0,1.3,94.79,136.48,1.06,3789.4,9.8,38.7
856.0,1.0,93.15,136.31,1.05,3790.7,9.7,38.5
857.0,1.5,199.91,132.85,1.09,3497.1,9.7,38.8
858.0,1.4,98.14,134.76,1.1,2655.34,10.1,38.3
859.0,1.3,93.19,131.55,1.08,3746.0,9.7,38.4
,1.1,90.64,138.46,1.11,3696.4,9.9,38.0
861.0,1.0,90.94,145.99,1.11,3780.4,10.1,38.2
862.0,1.4,94.32,,1.11,3405.6,10.0,38.2
863.0,1.0,,135.23,1.05,3505.0,10.0,38.5
864.0,1.2,94.63,149.73,1.05,3459.0,9.7,38.1
865.0,1.5,97.11,30.430000000000007,1.08,3472.6,9.5,38.9
866.0,107.5,93.94,137.3,1.1,3517.3,9.6,38.9
