,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
464,1.4,91.71,137.4,1.06,3738.3,10.1,37.6
465,1,96.58,136.6,1.1,3446.6,9.7,37.1
466,1.4,97.12,149.23,1.09,3368.6,9.8,37.4
467,1.5,90.28,133.37,1.05,3683.8,9.5,37.2
468,1.5,91.13,138.1,1.06,3478.4,10,37
469,1.5,97.18,146.23,1.08,3359.6,10,37.6
470,1.3,94.61,145.69,1.09,3350.6,9.9,37.8
471,1,93.49,145.38,1.05,3686.7,9.6,37.6
472,1.1,91.2,135.53,1.07,3483.3,9.5,37.7
473,1,97.48,144.78,1.1,3674.2,10,37.6
474,1.2,93.81,146.52,1.07,3629.8,9.9,37.6
475,1.4,91.45,137.68,1.06,3531.3,10,37.3
476,1.2,91.69,132.83,1.08,3751.8,9.9,37.9
477,1.4,99.49,142.18,1.05,3440.3,9.9,37.3
478,1.1,99.58,134.36,1.11,3683.9,10.1,37.1
479,1.1,95.4,135.73,1.09,3754.6,10.2,37.8
480,1.5,98.66,149.58,1.09,3739,10.1,37.1
481,1.4,94.46,147.12,1.08,3524.4,9.5,37.8
482,1.2,93.94,149.86,1.1,3391.8,10.1,37.1
483,1.5,91.1,130.68,1.1,3805.7,10.2,37.5
484,1.4,90.77,149.61,1.05,3561.3,10.1,37.5
485,1.2,96.8,133.55,1.1,3680.7,9.5,37.5
486,1.1,93.47,146.52,1.1,3739.5,9.6,37.2
487,1,96.16,148.9,1.07,3579.4,9.8,37.3
488,1.5,98.38,131.51,1.08,3415.3,9.7,37.9
489,1.1,95.18,142.14,1.05,3747.8,10.2,37
490,1.5,93.97,136.67,1.1,3560.2,9.9,37.6
491,1.3,94.4,146.42,1.07,3358.5,10,37.2
492,1.5,98.49,141.84,1.07,3403.6,10.1,37.2
493,1.5,91.6,143.42,1.08,3597.4,9.9,37.3
494,1.4,92.59,137.49,1.05,3309.5,10.2,37.8
495,1.2,91.33,134.14,1.07,3310.3,9.5,37.6
496,1.2,96.22,149.13,1.1,3395.8,9.5,37.5
497,1.1,90.45,139.83,1.05,3592.5,9.8,37.8
498,1.1,92.29,131.95,1.11,3406.7,9.5,37.8
499,1.4,98.39,142.79,1.07,3773,9.7,37
500,1.5,96.94,133.32,1.07,3769.6,9.8,37.8
501,1.5,99.9,143.52,1.08,3472.1,9.5,37.7
502,1.2,94.43,145.84,1.05,3548,10,37.9
503,1.5,93.55,134.36,1.06,3440.4,10.1,37.6
504,1.2,90.61,148.69,1.1,3738.9,9.6,37.8
505,1.2,97.4,149.93,1.06,3483.1,10.1,37.2
506,1.4,92.67,138.52,1.09,3679.6,10,37.5
507,1.2,95.14,144.97,1.06,3632.9,9.6,37.5
508,1.5,95.82,145.76,1.11,3804.3,9.6,37.8
509,1.4,99.88,138.26,1.08,3458.7,10.1,37.4
510,1.5,96.88,144.97,1.07,3392.5,9.7,37.5
511,1.3,93.2,148.61,1.06,3469.3,10.1,37.6
512,1.5,90.44,145.13,1.05,3639.4,10.2,37.5
513,1.5,97.66,149.48,1.08,3725.1,9.8,37
514,1.4,95.84,144.43,1.09,3674.8,9.8,37.5
515,1.5,97.63,144.9,1.07,3704.3,9.7,38.3
516,1.5,90.67,143.57,1.06,3496.9,10,38
517,1.1,97.7,134.17,1.06,3438.9,10.2,38.6
518,1.3,93.48,141.54,1.06,3801.9,10.2,38.8
519,1,97.59,139.23,1.11,3775.2,9.6,38.5
520,1,97.18,138.78,1.05,3742.9,9.9,38.4
521,1.3,96.35,143.75,1.05,3528.2,9.8,38.2
522,1.3,97.21,150.64,1.07,3768.3,10,38.6
523,1,99.31,135.57,1.06,3446.3,9.7,38.6
524,1.3,95.49,135.68,1.07,3683.5,9.8,38.1
525,1.5,90.6,131.39,1.11,3387.6,10.1,38.4
526,1.5,99.71,148.28,1.09,3497.2,10.2,38.4
527,1.2,92.78,135.87,1.11,3357.8,9.7,38.3
528,1.3,95.85,139.44,1.07,3389.6,10,38.1
529,1.3,95.62,142.17,1.1,3801.2,9.7,38.4
530,1.2,99.42,144.32,1.11,3444.8,10.2,38.4
531,1.1,95.97,130.76,1.07,3509.2,9.5,38.7
532,1.3,91.35,130.36,1.05,3395.5,9.8,38.2
533,1,91.63,142.3,1.09,3650.1,9.8,38.3
534,1,91.4,143.12,1.1,3644,9.6,38.3
535,1.3,99.69,150.94,1.09,3365.7,9.6,38.1
536,1,92.24,149.43,1.06,3459,9.8,38.9
537,1.3,97.19,150.46,1.09,3450.3,10.2,38.7
538,1,97.28,141.6,1.09,3360.1,9.9,38.1
539,1.1,95.7,137.91,1.1,3596.5,9.9,38.1
540,1.4,98.38,139.88,1.05,3459.3,9.9,38.9
541,1.5,93.18,131.45,1.05,3641.5,10,38
542,1.2,99.21,132.38,1.11,3562.2,9.9,38.7
543,1.4,95.27,141.53,1.09,3722.4,9.6,38.7
544,1.4,92.93,131.27,1.11,3645.9,10.2,38.2
545,1,92.9,143.85,1.09,3431.9,9.6,38.8
546,1.1,96.97,140.2,1.09,3640.1,9.9,38.1
547,1.1,93.55,132.31,1.09,3537.8,10.2,38.6
548,1.1,95.25,133.8,1.06,3425.1,10,38
549,1.1,90.4,145.54,1.1,3760.5,9.5,38.1
550,1.5,96.85,138.59,1.09,3623.9,10,38
551,1.5,94.58,139.55,1.07,3358.1,9.7,38.1
552,1,97.76,149.39,1.05,3470.1,9.6,38.8
553,1.1,98.91,149.79,1.1,3645.6,10.2,38.4
554,1.2,99.47,135.64,1.07,3682.2,10,38.4
555,1.3,94.32,144.71,1.06,3664.7,10.1,38.8
556,1.4,91.37,133.17,1.11,3582.6,9.8,38.2
557,1.5,92.16,137.24,1.11,3499.9,10.2,38.7
558,1,97.9,139.32,1.09,3802.9,10,38.7
559,1.1,94.78,144.96,1.08,3783.1,9.9,38.5
560,1.2,97.19,139.12,1.1,3652.1,9.9,38.4
561,1.1,92.75,149.85,1.08,3785,9.5,38.4
562,1.5,97.73,144.45,1.1,3623.9,9.5,38.1
563,1.3,92.47,143.72,1.05,3582.8,9.9,38.6
564,1.3,97.39,140.24,1.11,3793.8,10.2,38.9
565,1.4,91.31,132.17,1.07,3641.7,9.6,38.8
566,1.5,94.58,148.3,1.05,3764.9,10.1,38.8
567,1.5,91.99,134.75,1.1,3532.4,10.2,38.2
568,1.2,94.36,138.19,1.11,3719.8,10.1,38.5
569,1.2,95.23,146.9,1.05,3592.6,9.8,38.7
570,1.3,97.31,131.77,1.08,3435.5,9.7,38.1
571,1,91.65,144.63,1.08,3429.7,9.7,38
572,1.2,90.98,131.44,1.1,3569.7,10.1,38.1
573,1.4,95.1,134.58,1.1,3359.6,10.1,38.5
574,1.2,94.63,142.36,1.07,3524.1,10,38.3
575,1.4,91.68,149.51,1.05,3464.4,9.5,38.4
576,1.3,97.82,134.86,1.1,3642.8,9.9,38.5
577,1,92.67,148.49,1.09,3568.9,9.8,38.2
578,1.5,96.62,143.53,1.05,3383.1,10.1,38.5
579,1.3,90.35,131.25,1.1,3786.2,9.7,38.3
580,1.2,93.79,146.62,1.05,3381.6,9.8,38.8
581,1.3,90.42,143.96,1.11,3442.8,9.6,38.1
582,1.5,90.51,131.62,1.05,3615.9,10.1,38
583,1,94.69,150.35,1.11,3331.3,10,38.7
584,1.1,95.23,147.28,1.07,3774.6,10.2,38.5
585,1.1,96.15,139.73,1.05,3482.6,9.8,38.3
586,1.4,90.36,141.9,1.08,3634.4,9.6,38.6
587,1.2,96.47,130.8,1.06,3713.1,9.7,38.4
588,1.4,91.54,131.25,1.07,3510.2,10.2,38.5
589,1.4,96.65,135.75,1.05,3519.5,9.6,38
590,1.3,93.12,138.68,1.11,3714.4,9.9,38.6
591,1.5,98.44,136.13,1.09,3542.5,9.6,38
592,1.1,99.31,149.93,1.07,3489.1,10,38.9
593,1.3,96.47,137.73,1.11,3539.4,9.5,38.5
594,1.4,99.28,145.56,1.07,3727.2,9.6,38.5
595,1.3,93.14,145.26,1.09,3653.8,9.7,38.8
596,1.3,92.75,137.86,1.08,3633.6,9.9,38.5
597,1.4,98.6,134.18,1.09,3561.2,10,38
598,1.4,95.38,136.33,1.08,3569.8,10,38.6
599,1.4,99.16,147.89,1.05,3435.5,10.1,38
600,1.5,90.59,138.19,1.06,3365.8,9.7,38.7
601,1.1,98.44,149.38,1.09,3780.8,10,38.8
602,1.1,91.29,134.15,1.1,3670.7,9.9,38.6
603,1.2,91.12,136.75,1.11,3667.4,9.9,38.1
604,1,99.36,134.23,1.06,3586.8,9.6,38.3
605,1.4,92.65,149.4,1.09,3437.5,10.2,38.3
606,1.2,94.16,133.98,1.07,3581.3,9.8,38.1
607,1.2,99.45,132.91,1.05,3372,9.8,38.6
608,1.2,95.91,144.69,1.1,3767.8,9.6,38.7
609,1.1,91.96,145.94,1.08,3457.1,9.9,38.8
610,1.4,94.14,143.45,1.06,3422.5,10,38
611,1.5,99.97,141.22,1.08,3601.4,9.9,38
612,1,98.1,137.73,1.1,3437.8,10.1,38.1
613,1.5,97.74,140.25,1.05,3411.7,9.8,38.2
614,1.1,98.14,140.18,1.1,3566.9,9.7,38.6
615,1.2,96.45,135.47,1.05,3387.9,9.7,38.9
616,1.3,98.86,141.19,1.05,3446.2,9.7,38.1
617,1.1,96.56,132.76,1.11,3311.4,9.6,38.2
618,1.2,93.7,150.73,1.06,3777.6,9.6,38.9
619,1.2,92.38,144.36,1.06,3560,10.2,38.3
620,1,95.29,149.42,1.09,3570.8,10.2,38.2
621,1.4,99.58,147.94,1.1,3676,9.8,38.7
622,1.3,93.1,141.34,1.08,3595.1,9.6,38
623,1.1,99.29,130.62,1.09,3580.6,9.7,38
624,1.5,97.59,142.5,1.07,3575.5,10.1,38.9
625,1,91.95,146.14,1.1,3596.7,9.5,38.4
626,1.5,91.23,145.24,1.08,3486.5,10.2,38.7
627,1.1,94.2,140.25,1.06,3559,9.6,38
628,1,94.87,142.78,1.07,3659.8,10.2,38.6
629,1.3,98.27,141.68,1.07,3340.2,10,38.6
630,1.4,91.68,132.58,1.05,3706.2,10,38
631,1.2,98.33,130.19,1.06,3655.8,9.5,38.3
632,1,93.19,135.51,1.08,3343.7,9.7,38.2
633,1.3,90.99,148.84,1.07,3400.5,10.1,38.5
634,1.5,91.99,134.45,1.08,3493.2,10,38.3
635,1.2,99.73,133.84,1.05,3432.1,9.5,38.6
636,1,97.34,142.89,1.05,3321,10.1,38.1
637,1.5,98.82,147.94,1.09,3784,10.1,38.3
638,1,98.81,143.54,1.06,3546.7,10.1,38.5
639,1.2,96.71,147.87,1.09,3602.6,9.6,38.5
640,1.5,97.29,130.2,1.06,3318.5,10.2,38.6
641,1,98.76,141.12,1.06,3312.6,9.8,38.4
642,1.1,96.39,141.96,1.05,3358.4,9.5,38.2
643,1.4,93.52,145.82,1.06,3428.5,10.2,38.5
644,1.4,97.56,143.61,1.08,3653.6,9.8,38.1
645,1.5,97.13,134.9,1.11,3788.1,9.9,38.4
646,1,99.49,134.82,1.11,3781.2,9.6,38.2
647,1.2,96.29,149.57,1.11,3348.3,10,38.9
648,1.5,93.63,150.16,1.05,3668.6,9.7,38.4
649,1.2,95.53,133.79,1.05,3603.8,9.7,38.5
650,1.5,94.96,130.46,1.09,3504.9,10.2,38.3
651,1.4,92.3,134.51,1.08,3452.1,9.8,38.3
652,1.5,99.3,139.45,1.05,3758.8,9.6,38.8
653,1.3,96.89,135.86,1.07,3783.3,9.8,38.9
654,1.4,99.97,146.38,1.09,3570.7,9.7,38.4
655,1.3,91.43,150.28,1.07,3583.5,9.8,38.7
656,1.4,91.21,139.61,1.05,3759.6,10.2,38.1
657,1.1,97.82,145.69,1.1,3630.2,9.9,38.9
658,1,95.49,148.13,1.11,3724.5,9.7,38.9
659,1.3,94.93,133.46,1.07,3596.2,10.1,38.6
660,1.4,95.23,146.41,1.05,3397.9,10.1,38.5
661,1.4,96.87,141.48,1.05,3349.7,10,38.1
662,1.2,99.57,143.1,1.11,3686.8,9.6,38.6
663,1.5,97.92,150.9,1.11,3804.8,9.6,38.9
664,1.4,94.29,146.62,1.06,3515.6,9.9,38.6
665,1,98.87,137.56,1.09,3392.8,9.7,38
666,1.1,91.34,148.94,1.06,3419.4,10,38.1
667,1,98.86,139.88,1.08,3566.8,9.5,38.8
668,1,93.87,136.29,1.08,3758.4,9.5,38.5
669,1,96.55,132.86,1.09,3666,9.7,38.8
670,1,96.15,131.41,1.11,3608.6,9.9,38.1
671,1.4,91.14,143.48,1.06,3336,9.6,38.9
672,1.2,93.75,143.21,1.08,3525.6,9.8,38.6
673,1.4,97.63,149.7,1.07,3552.1,9.5,38.1
674,1,96.26,144.66,1.08,3376.7,9.7,38.1
675,1.2,96.98,142.2,1.09,3413.3,9.6,38.9
676,1.4,90.49,145.52,1.09,3381.3,10.1,38
677,1,91.71,138.69,1.07,3743.4,9.9,38.6
678,1.5,93.28,136.7,1.1,3391.4,10.1,38.7
679,1.1,97.94,138.63,1.07,3584.9,10.2,38.2
680,1,99.15,139.68,1.11,3672.7,10,38.4
681,1.5,95.96,142.26,1.06,3351,9.7,38.2
682,1.2,99.95,144.6,1.07,3787.7,9.9,38.1
683,1,96.42,137.79,1.05,3650.1,9.8,38.4
684,1.2,90.84,149.85,1.08,3313.9,9.7,38
685,1,96.2,150.93,1.11,3416.3,9.8,38.2
686,1,94.75,147.53,1.06,3586.5,9.7,38.2
687,1.1,97.36,144.4,1.1,3753.1,10.1,38.3
688,1.2,93.35,148.88,1.06,3514,9.9,38
689,1,99.13,135.6,1.09,3526.2,9.7,38.7
690,1.3,96.11,140.59,1.08,3461.8,10,38.4
691,1,91.24,135.34,1.1,3456.3,9.7,38
692,1.3,98.19,137.33,1.05,3772.5,9.7,38.9
693,1,94.19,145.36,1.06,3587.7,10.2,38.6
694,1.5,91.94,142.17,1.08,3393.8,9.8,38.1
695,1.2,98.89,149.62,1.08,3457.6,10,38.1
696,1.5,99.37,146.37,1.08,3559.4,9.9,38.5
697,1.1,97.67,139.13,1.06,3535.5,9.9,38.2
698,1.1,98.55,141.16,1.05,3467.7,10.2,38.1
699,1.5,92.76,135.43,1.09,3505.9,10.2,38.3
700,1.4,91.66,148.26,1.09,3652.1,10,38.2
701,1,98.8,130.87,1.1,3407.4,9.8,38.6
702,1.1,97.58,132.15,1.1,3597.9,10.2,38.7
703,1.4,96.36,143.18,1.1,3449.6,10,38.8
704,1.3,96.98,139.72,1.05,3465.4,9.6,38
705,1.2,94.85,136.35,1.07,3656.6,9.5,38.8
706,1.2,94.67,136.73,1.07,3329.5,10.2,38.2
707,1.5,91.66,131.13,1.07,3320.8,10.2,38.6
708,1.1,92.36,137.71,1.1,3403,10,38.7
709,1.4,98.15,139.58,1.09,3628.1,9.6,38.3
710,1.1,94.35,150.51,1.1,3542.9,9.6,38.2
711,1,93.93,132.98,1.1,3360.6,10.2,38.2
712,1.2,91.66,138.38,1.09,3721.6,9.9,38.7
713,1.5,94.36,133.27,1.1,3419.4,9.6,38.4
714,1,97.29,146.82,1.06,3356.7,9.8,38.6
715,1,90.91,134.32,1.05,3409.4,9.8,38.5
716,1.5,99.86,146.37,1.08,3618.9,10,38.5
717,1,99.78,143.62,1.05,3352.2,9.8,38
718,1.1,93.15,149.89,1.05,3576.4,10.1,38
719,1.1,91.15,140.5,1.08,3776.6,10.2,38.8
720,1.3,94.42,134.47,1.11,3695.4,10.2,38.3
721,1.4,96.61,147.96,1.05,3757.6,9.5,38.8
722,1,99.97,145.76,1.11,3393.4,9.6,38.7
723,1.1,97.7,135.68,1.08,3733.8,10,38.5
724,1.5,93.78,131.86,1.1,3631.7,10,38.5
725,1.2,96.43,134.75,1.07,3493.8,10.1,38
726,1.4,95.12,133.95,1.11,3474.4,10.1,38.6
727,1.3,98.87,145.5,1.11,3430.5,9.8,38.3
728,1,97.87,131.76,1.08,3588,9.8,38.7
729,1.5,94.55,131.46,1.1,3561.1,9.5,38
730,1.3,91.23,130.88,1.1,3576.6,10.1,38.6
731,1.1,94.89,134.94,1.07,3583.2,9.5,38.9
732,1.5,98.61,133.83,1.09,3388,9.5,38.2
733,1.4,93.89,133.53,1.1,3520,9.9,38.2
734,1.5,96.62,147.53,1.11,3780.5,9.8,38.5
735,1.5,92.85,139.36,1.07,3552.5,10,38.8
736,1.3,91.47,133.4,1.05,3509.2,9.9,38.3
737,1.5,91.35,140.85,1.06,3395.2,9.6,38.5
738,1,92.86,130.4,1.05,3536.8,10,38
739,1.4,91.55,130.81,1.11,3723.5,10.2,38.7
740,1.2,94.61,139.1,1.05,3448.3,10,38.4
741,1.5,91.15,143.97,1.05,3366.6,9.8,38.6
742,1.3,92.51,144.71,1.06,3423.1,10,38.8
743,1.1,90.36,143.68,1.06,3710.9,9.6,38.1
744,1.5,95.46,133.53,1.1,3757.9,10.1,38.2
745,1.4,99.1,132.25,1.06,3588.7,9.8,38.8
746,1.5,97.99,140.27,1.08,3699.2,9.7,38.8
747,1.2,92.95,138.69,1.11,3438,10.2,38
748,1.4,93.11,137.1,1.06,3730.7,10,38.4
749,1,91.52,148.47,1.07,3488.7,9.8,38.1
750,1.4,92.53,130.57,1.06,3440.7,9.6,38.7
751,1,90.98,132.44,1.1,3462.8,10.1,38.7
752,1.2,92.24,147.24,1.05,3344.5,9.8,38.3
753,1.3,98.52,141.48,1.1,3790,9.8,38.9
754,1.3,94.15,140.18,1.08,3805.7,10.1,38.9
755,1,92.24,137.88,1.09,3671.8,9.5,38.1
756,1.2,98.3,139.2,1.06,3487.4,10.1,38.8
757,1.2,92.85,149.94,1.07,3358.2,10.2,38
758,1.2,94.56,132.29,1.09,3358.2,9.9,38.9
759,1.1,98.1,138.98,1.1,3567.3,9.5,38.2
760,1.3,98.73,149.18,1.08,3301.8,9.6,38.4
761,1.1,93.15,133.78,1.08,3487.3,9.6,38.2
762,1.4,92.92,141.63,1.11,3725.7,10.1,38
763,1.5,97.11,146.14,1.11,3591.7,10.2,38.7
764,1.2,91.72,135.43,1.09,3744.3,9.7,38.1
765,1.1,99.15,139.13,1.08,3573.4,9.8,38.1
766,1.4,99.97,141.63,1.08,3393.2,9.8,38.4
767,1.2,90.54,137.61,1.08,3317.6,10.1,38.6
768,1.4,93.58,150.9,1.1,3432.1,10.2,38.8
769,1.5,99.1,148.82,1.06,3486.1,10,38.7
770,1.3,96.2,144.48,1.11,3773.8,10,38.6
771,1.3,94.87,144.93,1.1,3324.2,9.5,38
772,1,97.24,130.37,1.06,3764.2,9.7,38.8
773,1,90.6,137.75,1.08,3449.4,9.5,38.6
774,1,93.15,134.45,1.05,3464.1,9.6,38.9
775,1,97.14,146.15,1.07,3519.7,9.9,38.3
776,1.2,95.37,143.41,1.06,3669,10,38
777,1.2,97.59,146.75,1.07,3800.9,9.6,38.3
778,1.2,97.72,136.29,1.08,3758.8,10.2,38.4
779,1.2,98.56,145.36,1.05,3500.9,9.6,38.4
780,1,93.48,149.84,1.05,3469.6,10.2,38.1
781,1.3,92.82,135.82,1.09,3470.3,9.6,38.4
782,1,91.24,137.89,1.05,3723.3,9.9,38.3
783,1.1,92.4,137.59,1.11,3666.6,9.8,38.3
784,1.2,90.29,137.81,1.05,3513,10.2,38.1
785,1.2,94.48,133.34,1.05,3773.2,9.7,38.9
786,1.2,99.27,132.65,1.08,3497.7,10.2,38.6
787,1.1,95.96,132.95,1.11,3414.5,10.2,38.7
788,1.3,94.39,138.51,1.09,3621.6,9.8,38.4
789,1.2,92.37,145.49,1.07,3384.7,9.6,38.1
790,1.2,90.45,138.97,1.08,3420.7,10.1,38.2
791,1.3,91.3,134.99,1.07,3446.1,10.1,38.1
792,1.1,93.66,147.82,1.11,3528.8,9.7,38
793,1,95.87,149.38,1.11,3691.3,9.6,38.9
794,1,95.52,147.42,1.06,3720.7,9.7,38.1
795,1,98.77,133.64,1.07,3332.9,10.1,38.6
796,1,94.75,133.54,1.07,3459,9.6,38.9
797,1.5,94.21,132.25,1.08,3644.2,10.1,38.2
798,1.3,98.78,138.95,1.08,3324.1,9.6,38.3
799,1.3,98.88,141.81,1.08,3368.7,10,38.8
800,1.5,94.73,137.7,1.07,3473.5,10,38.8
801,1.2,93.65,146.95,1.11,3501.8,9.8,38.3
802,1.5,97.56,143.32,1.11,3710.4,9.9,38
803,1,97.6,131.56,1.05,3346.1,9.7,38.5
804,1,94.89,141.31,1.1,3787.1,10.1,38.2
805,1.1,96.83,139.62,1.1,3372.3,10.1,38.1
806,1.5,96.67,146.93,1.07,3334.3,9.5,38.4
807,1,93.76,135.8,1.11,3690.9,10.1,38.6
808,1.5,94.25,148.57,1.07,3423.8,9.7,38.4
809,1.3,98.75,134.53,1.11,3579.6,9.6,38.1
810,1.3,90.4,137.99,1.1,3787.4,9.8,38.5
811,1,93.65,150.63,1.1,3637.9,9.5,38.2
812,1.4,93.72,145.13,1.1,3344.8,10.1,38.4
813,1.3,92.31,139.11,1.06,3585,10,38.2
814,1.5,92.39,149.1,1.08,3368.9,10,38.2
815,1.3,96.81,148.46,1.1,3774.1,10.2,38.2
816,1.2,98.5,149.67,1.08,3559,10.2,38.2
817,1,90.39,136.57,1.09,3716.6,9.9,38
818,1.4,98.54,134.76,1.09,3655,9.9,38.6
819,1.1,99.98,150.85,1.07,3675.7,10,38.2
820,1.2,97.6,131.99,1.09,3598.1,10,38
821,1.2,93.59,142.43,1.1,3323.5,10.1,38.8
822,1.5,98.58,137.16,1.1,3504.1,9.5,38.6
823,1.1,96.61,141.73,1.07,3535.8,9.5,38.8
824,1.2,98.17,136.28,1.06,3384.3,10,38.6
825,1.2,94.29,136.79,1.1,3347.7,9.7,38
826,1.4,96.7,143.39,1.07,3692.2,9.6,38.6
827,1.3,95.83,137.42,1.09,3352.3,9.8,38.7
828,1.1,96.54,133.16,1.1,3568.3,9.6,38.4
829,1.5,90.34,131.53,1.1,3408.8,10.1,38.4
830,1.2,91.94,149.25,1.06,3373.5,9.5,38.8
831,1.1,94.16,131.65,1.11,3746.3,9.9,38.5
832,1.4,98.21,146.61,1.07,3325.9,9.6,38.2
833,1.5,90.72,133.23,1.11,3310,9.5,38.3
834,1,97.59,136.2,1.08,3602.8,10.2,38.6
835,1.1,91.49,147.35,1.06,3613.8,9.5,38.1
836,1.3,93.24,140.94,1.07,3691.8,10,38.6
837,1.1,99.86,138.19,1.08,3408.3,9.7,38.4
838,1.2,95.16,141.76,1.07,3555.9,10.2,38.5
839,1.1,98.93,144.65,1.1,3498.1,10.2,38.6
840,1.2,91.25,146.25,1.07,3351.7,9.5,38
841,1.4,98.49,139.65,1.05,3608.3,10.1,38.7
842,1.3,94.17,139.93,1.09,3530.7,9.6,38.5
843,1.4,90.95,150.97,1.05,3349.2,9.7,38.7
844,1,97.45,137.36,1.07,3340.7,9.7,38.3
845,1.3,93.49,132.28,1.1,3312.9,10.1,38.3
846,1,99.42,144.58,1.08,3741.3,9.6,38
847,1.3,97.21,133.73,1.1,3502.9,10.1,38.4
848,1.4,92.66,143.34,1.11,3701.7,10,38.3
849,1,90.11,139.98,1.1,3469,9.5,38.1
850,1.1,99.82,140.73,1.07,3336.7,9.7,38.7
851,1.5,97.49,132.68,1.09,3361.4,10,38.7
852,1.2,90.53,135.37,1.07,3349.9,10.1,38.8
853,1.1,94.55,148.26,1.09,3452.6,9.6,38.2
854,1.4,94.89,146.7,1.08,3457.6,10.2,38.8
855,1.3,94.79,136.48,1.06,3789.4,9.8,38.7
856,1,93.15,136.31,1.05,3790.7,9.7,38.5
857,1.5,98.99,132.85,1.09,3497.1,9.7,38.8
858,1.4,98.14,134.76,1.1,3389.7,10.1,38.3
859,1.3,93.19,131.55,1.08,3746,9.7,38.4
860,1.1,90.64,138.46,1.11,3696.4,9.9,38
861,1,90.94,145.99,1.11,3780.4,10.1,38.2
862,1.4,94.32,150.67,1.11,3405.6,10,38.2
863,1,94.64,135.23,1.05,3505,10,38.5
864,1.2,94.63,149.73,1.05,3459,9.7,38.1
865,1.5,97.11,130.49,1.08,3472.6,9.5,38.9
866,1.5,93.94,137.3,1.1,3517.3,9.6,38.9
867,1.1,92.93,141.79,1.11,3792.1,10,38.8
868,1.5,93.15,132.24,1.07,3542.8,10.1,38.2
869,1.3,95.53,148.39,1.08,3552.1,10.1,38.7
870,1.4,91.35,137.47,1.08,3439.1,10.1,38.3
871,1.3,95.49,143.41,1.05,3643.1,10,38.6
872,1.4,94.38,149.91,1.06,3514,9.8,38.4
873,1.2,90.11,139.75,1.08,3396.3,9.8,38.6
874,1.3,94.4,133.2,1.07,3516.7,9.6,38
875,1.1,95.12,145.47,1.06,3766.7,9.6,38.3
876,1,96.22,136.11,1.11,3468.6,9.8,38.5
877,1.5,90.3,134.56,1.05,3399.6,9.9,38.3
878,1,95.15,145.51,1.1,3693,10.2,38.8
879,1.3,99.1,147.18,1.08,3431.8,9.9,38.3
880,1.1,95.23,140.78,1.06,3675.5,10,38
881,1.5,95.32,133.16,1.09,3678.6,9.5,38.6
882,1.3,96.7,143.52,1.05,3472.7,10.2,38.8
883,1,95.77,144.44,1.09,3394.2,9.5,38.9
884,1.1,98.75,137.78,1.09,3565.3,9.9,38.7
885,1.2,91.41,134.24,1.07,3649.8,10.1,38.8
886,1.3,92.5,138.64,1.06,3722.8,9.9,38
887,1.2,99.27,130.43,1.09,3464.5,9.7,38.6
888,1.4,98.95,138.38,1.07,3695.9,10.2,38.6
889,1,95.13,134.18,1.09,3474,10.1,38.3
890,1.1,98.83,146.58,1.05,3726.8,9.5,38.9
891,1.3,95.19,147.75,1.07,3462.9,10,38.1
892,1.4,96.1,134.61,1.07,3473.7,10.2,38.3
893,1.4,93.5,141.67,1.07,3424.3,10.1,38.9
894,1.3,94.85,133.31,1.05,3491.6,10.2,38.3
895,1.5,92.22,134.25,1.1,3427.1,9.7,38
896,1.2,94.68,133.94,1.05,3786.8,10.2,38.8
897,1.3,90.4,137.79,1.11,3368.8,9.7,38.2
898,1,99.48,133.19,1.11,3318.2,10.1,38
899,1.2,96.82,143.78,1.08,3467.9,9.8,38.5
900,1.2,95.86,133.64,1.09,3585.7,9.8,38.9
901,1.3,96.41,136.8,1.05,3757.1,9.8,38.1
902,1,97.26,140.45,1.11,3735.8,9.8,38.6
903,1.4,91.35,143.46,1.08,3559.8,9.7,38.2
904,1.5,90.57,138.81,1.06,3651.6,10.2,38.7
905,1.4,91.7,149.1,1.11,3349.9,10.1,38.4
906,1.3,91.5,140.54,1.05,3382.6,9.9,38.2
907,1.2,99.88,144.2,1.09,3547.7,9.5,38.1
908,1.3,92.71,143.28,1.06,3510.1,9.5,38
909,1.3,95.64,150.56,1.06,3396.2,10.1,38.7
910,1.4,90.71,135.73,1.05,3548.4,9.9,38.2
911,1.1,98.99,133.48,1.11,3636.7,9.9,38
912,1,95.45,130.72,1.08,3338.8,9.7,38.3
913,1,94.31,147.11,1.11,3635.7,10.1,38.4
914,1.1,97.49,148.28,1.07,3777.8,9.5,38.2
915,1.3,97.22,133.99,1.06,3621.7,9.5,38.4
916,1.4,93.27,146.8,1.09,3664.2,9.6,38.2
917,1.3,91.16,136.87,1.05,3667.9,9.5,38.6
918,1.2,91.38,143.74,1.07,3393.7,9.8,38.8
919,1.1,90.66,136.75,1.1,3701.2,9.8,38.3
920,1.4,95.98,136.82,1.11,3746.1,10.2,38.7
921,1,91.19,146.56,1.07,3461.5,9.8,38.3
922,1.2,93.83,149.37,1.08,3617.3,10,38.7
923,1.5,94.22,145.14,1.1,3751.5,9.8,38.3
924,1.2,98.35,130.84,1.05,3326.4,9.9,38.7
925,1.2,94.61,149.6,1.1,3718.1,10,38
926,1.3,91.25,150.1,1.08,3429.6,10,38.6
927,1.4,98.53,139.82,1.07,3444.7,9.9,38.9
928,1.4,93.96,133.15,1.09,3333.9,10.1,38.6
